Incident Type;Hazards;Hazard Paths;Origins;Date
border rejection;unauthorised colour, artificial colourants/synthetic dyes;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;16-6-2025
border rejection;unauthorised colour, artificial colourants/synthetic dyes;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;16-6-2025
border rejection;unauthorised colour, artificial colourants/synthetic dyes;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;16-6-2025
border rejection;unauthorised colour, artificial colourants/synthetic dyes;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;16-6-2025
border rejection;unauthorised colour, artificial colourants/synthetic dyes;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;13-6-2025
border rejection;unauthorised tricyclazole, thiamethoxam;chemical compound (unauthorised) > unauthorised tricyclazole, pesticides > neonicotinoid > thiamethoxam;india;13-6-2025
border rejection;pesticides, missing required nutrition information;pesticides, labelling/misdescription > insufficient labelling/documentation > missing required nutrition information;pakistan;12-6-2025
border rejection;pesticides;pesticides;india;12-6-2025
border rejection;unauthorised colour, artificial colourants/synthetic dyes;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;12-6-2025
border rejection;pesticides;pesticides;india;12-6-2025
border rejection;pesticides;pesticides;pakistan;11-6-2025
border rejection;pesticides;pesticides;india;11-6-2025
border rejection;ochratoxin a;mycotoxin > ochratoxin > ochratoxin a;india;11-6-2025
border rejection;tebuconazole;pesticides > triazole > tebuconazole;pakistan;10-6-2025
alert;shigatoxin-producing escherichia coli;pathogen > pathogenic bacteria > escherichia coli > shigatoxin-producing escherichia coli;netherlands;6-6-2025
border rejection;gmo;gmo;china;6-6-2025
alert;ochratoxin a, aflatoxin b1;mycotoxin > ochratoxin > ochratoxin a, mycotoxin > aflatoxin > aflatoxin b1;india;5-6-2025
alert;aflatoxin, aflatoxin b1;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1;france;5-6-2025
alert;alkaloids;alkaloids;france;5-6-2025
border rejection;aflatoxin b1;mycotoxin > aflatoxin > aflatoxin b1;pakistan;4-6-2025
border rejection;unauthorised tricyclazole, thiamethoxam;chemical compound (unauthorised) > unauthorised tricyclazole, pesticides > neonicotinoid > thiamethoxam;india;4-6-2025
border rejection;acetamiprid;pesticides > neonicotinoid > acetamiprid;pakistan;4-6-2025
border rejection;chlorpyrifos;pesticides > organophosphate > chlorpyrifos;india;3-6-2025
border rejection;pesticides, missing required nutrition information;pesticides, labelling/misdescription > insufficient labelling/documentation > missing required nutrition information;pakistan;3-6-2025
alert;deoxynivalenol;mycotoxin > deoxynivalenol;italy;31-5-2025
alert;deoxynivalenol;mycotoxin > deoxynivalenol;italy;31-5-2025
alert;deoxynivalenol;mycotoxin > deoxynivalenol;italy;31-5-2025
border rejection;unclassified bacteria;other not classified biological hazards > unclassified bacteria;china;30-5-2025
border rejection;solidification, bad smell / off odor, moulds;solidification, bad smell / off odor, non-pathogenic microorganisms > moulds;thailand;30-5-2025
border rejection;solidification, moulds, bad smell / off odor, deterioration;solidification, non-pathogenic microorganisms > moulds, bad smell / off odor, deterioration;australia;30-5-2025
border rejection;tebuconazole;pesticides > triazole > tebuconazole;india;30-5-2025
border rejection;tebuconazole, chlorpyrifos;pesticides > triazole > tebuconazole, pesticides > organophosphate > chlorpyrifos;india;30-5-2025
border rejection;tebuconazole;pesticides > triazole > tebuconazole;pakistan;30-5-2025
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;philippines;30-5-2025
border rejection;tebuconazole;pesticides > triazole > tebuconazole;india;30-5-2025
border rejection;tebuconazole, chlorpyrifos;pesticides > triazole > tebuconazole, pesticides > organophosphate > chlorpyrifos;india;30-5-2025
border rejection;pesticides;pesticides;india;29-5-2025
border rejection;pesticides;pesticides;india;29-5-2025
border rejection;tebuconazole, carbendazim;pesticides > triazole > tebuconazole, pesticides > benzimidazole > carbendazim;india;27-5-2025
border rejection;unauthorised colour, artificial colourants/synthetic dyes;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;27-5-2025
border rejection;carbendazim, tebuconazole;pesticides > benzimidazole > carbendazim, pesticides > triazole > tebuconazole;india;27-5-2025
border rejection;pesticides;pesticides;brazil;27-5-2025
border rejection;pesticides;pesticides;brazil;27-5-2025
border rejection;pesticides;pesticides;brazil;27-5-2025
border rejection;non-compliance to quality parameters;other not classified > non-compliance to quality parameters;italy;26-5-2025
border rejection;misbranding, unauthorised colour, missing required nutrition information;labelling/misdescription > misbranding, unauthorised colour, labelling/misdescription > insufficient labelling/documentation > missing required nutrition information;mexico;23-5-2025
border rejection;improper import declaration;smuggling > improper import declaration;nigeria;23-5-2025
border rejection;misbranding, unauthorised colour, missing required nutrition information;labelling/misdescription > misbranding, unauthorised colour, labelling/misdescription > insufficient labelling/documentation > missing required nutrition information;mexico;23-5-2025
border rejection;unauthorised colour, missing required nutrition information;unauthorised colour, labelling/misdescription > insufficient labelling/documentation > missing required nutrition information;mexico;23-5-2025
border rejection;misbranding, unauthorised colour, missing required nutrition information;labelling/misdescription > misbranding, unauthorised colour, labelling/misdescription > insufficient labelling/documentation > missing required nutrition information;mexico;23-5-2025
border rejection;incorrect labeling, unauthorised colour, artificial colourants/synthetic dyes;labelling/misdescription > incorrect labeling, unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;23-5-2025
border rejection;unauthorised colour, artificial colourants/synthetic dyes;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;23-5-2025
alert;scopolamine, atropine;biocontaminants > tropane alkaloids > scopolamine, biocontaminants > tropane alkaloids > atropine;italy;22-5-2025
alert;scopolamine, atropine;biocontaminants > tropane alkaloids > scopolamine, biocontaminants > tropane alkaloids > atropine;italy;22-5-2025
alert;scopolamine, atropine;biocontaminants > tropane alkaloids > scopolamine, biocontaminants > tropane alkaloids > atropine;italy;22-5-2025
alert;scopolamine, atropine;biocontaminants > tropane alkaloids > scopolamine, biocontaminants > tropane alkaloids > atropine;italy;22-5-2025
border rejection;tebuconazole;pesticides > triazole > tebuconazole;india;22-5-2025
alert;scopolamine, atropine;biocontaminants > tropane alkaloids > scopolamine, biocontaminants > tropane alkaloids > atropine;italy;22-5-2025
alert;alkaloids;alkaloids;france;22-5-2025
border rejection;unauthorised colour, artificial colourants/synthetic dyes;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;22-5-2025
alert;scopolamine, atropine;biocontaminants > tropane alkaloids > scopolamine, biocontaminants > tropane alkaloids > atropine;italy;22-5-2025
alert;scopolamine, atropine;biocontaminants > tropane alkaloids > scopolamine, biocontaminants > tropane alkaloids > atropine;italy;22-5-2025
alert;scopolamine, atropine;biocontaminants > tropane alkaloids > scopolamine, biocontaminants > tropane alkaloids > atropine;italy;22-5-2025
alert;scopolamine, atropine;biocontaminants > tropane alkaloids > scopolamine, biocontaminants > tropane alkaloids > atropine;italy;22-5-2025
alert;scopolamine, atropine;biocontaminants > tropane alkaloids > scopolamine, biocontaminants > tropane alkaloids > atropine;italy;22-5-2025
alert;scopolamine, atropine;biocontaminants > tropane alkaloids > scopolamine, biocontaminants > tropane alkaloids > atropine;italy;22-5-2025
border rejection;tebuconazole, triazophos;pesticides > triazole > tebuconazole, pesticides > organophosphate > triazophos;pakistan;22-5-2025
border rejection;thifluzamide;pesticides > thifluzamide;india;22-5-2025
alert;scopolamine, atropine;biocontaminants > tropane alkaloids > scopolamine, biocontaminants > tropane alkaloids > atropine;italy;22-5-2025
alert;scopolamine, atropine;biocontaminants > tropane alkaloids > scopolamine, biocontaminants > tropane alkaloids > atropine;italy;22-5-2025
alert;scopolamine, atropine;biocontaminants > tropane alkaloids > scopolamine, biocontaminants > tropane alkaloids > atropine;italy;22-5-2025
alert;scopolamine, atropine;biocontaminants > tropane alkaloids > scopolamine, biocontaminants > tropane alkaloids > atropine;italy;22-5-2025
alert;scopolamine, atropine;biocontaminants > tropane alkaloids > scopolamine, biocontaminants > tropane alkaloids > atropine;italy;22-5-2025
alert;scopolamine, atropine;biocontaminants > tropane alkaloids > scopolamine, biocontaminants > tropane alkaloids > atropine;italy;22-5-2025
alert;scopolamine, atropine;biocontaminants > tropane alkaloids > scopolamine, biocontaminants > tropane alkaloids > atropine;italy;22-5-2025
alert;cashew;nuts > cashew;israel;22-5-2025
alert;insects;insects;israel;22-5-2025
border rejection;misbranding, incorrect labeling, missing required nutrition information, insufficient labelling/documentation;labelling/misdescription > misbranding, labelling/misdescription > incorrect labeling, labelling/misdescription > insufficient labelling/documentation > missing required nutrition information, labelling/misdescription > insufficient labelling/documentation;china;21-5-2025
border rejection;unauthorised colour, artificial colourants/synthetic dyes;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;japan;21-5-2025
border rejection;inadequate processing;processing > inadequate processing;italy;20-5-2025
border rejection;inadequate processing;processing > inadequate processing;italy;20-5-2025
border rejection;inadequate processing;processing > inadequate processing;italy;20-5-2025
border rejection;unauthorised colour, artificial colourants/synthetic dyes;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;19-5-2025
border rejection;incorrect labeling, artificial colourants/synthetic dyes, unauthorised colour;labelling/misdescription > incorrect labeling, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes, unauthorised colour;china;19-5-2025
border rejection;incorrect labeling, unauthorised colour, artificial colourants/synthetic dyes;labelling/misdescription > incorrect labeling, unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;china;19-5-2025
border rejection;artificial colourants/synthetic dyes, unauthorised colour;adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes, unauthorised colour;mexico;19-5-2025
border rejection;pesticides;pesticides;haiti;19-5-2025
border rejection;pesticides;pesticides;haiti;19-5-2025
border rejection;incorrect labeling;labelling/misdescription > incorrect labeling;mexico;16-5-2025
border rejection;incorrect labeling, missing required nutrition information;labelling/misdescription > incorrect labeling, labelling/misdescription > insufficient labelling/documentation > missing required nutrition information;mexico;16-5-2025
border rejection;misbranding, incorrect labeling, insufficient labelling/documentation;labelling/misdescription > misbranding, labelling/misdescription > incorrect labeling, labelling/misdescription > insufficient labelling/documentation;haiti;15-5-2025
border rejection;high content of cyanide;composition > high content of cyanide;australia;15-5-2025
border rejection;incorrect labeling, artificial colourants/synthetic dyes, unauthorised colour;labelling/misdescription > incorrect labeling, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes, unauthorised colour;mexico;14-5-2025
border rejection;misbranding, unauthorised colour, artificial colourants/synthetic dyes, labelling/misdescription;labelling/misdescription > misbranding, unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes, labelling/misdescription;mexico;14-5-2025
border rejection;artificial colourants/synthetic dyes;adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;14-5-2025
alert;fumonisins;mycotoxin > fumonisins;denmark;14-5-2025
border rejection;misbranding, unauthorised colour, labelling/misdescription, artificial colourants/synthetic dyes;labelling/misdescription > misbranding, unauthorised colour, labelling/misdescription, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;14-5-2025
border rejection;aflatoxin b1, aflatoxin;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin;pakistan;14-5-2025
alert;bacillus cereus;pathogen > pathogenic bacteria > bacillus spp. > bacillus cereus;cambodia;13-5-2025
alert;milk and products thereof, sesame seeds and products thereof, cereals containing gluten and products thereof;milk and products thereof, sesame seeds and products thereof, cereals containing gluten and products thereof;united states;13-5-2025
alert;cereals containing gluten and products thereof, milk and products thereof, sesame seeds and products thereof;cereals containing gluten and products thereof, milk and products thereof, sesame seeds and products thereof;united states;13-5-2025
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;lebanon;12-5-2025
border rejection;inadequate processing;processing > inadequate processing;egypt;12-5-2025
alert;shigatoxin-producing escherichia coli;pathogen > pathogenic bacteria > escherichia coli > shigatoxin-producing escherichia coli;france;9-5-2025
border rejection;gmo;gmo;china;9-5-2025
alert;chlorpyrifos;pesticides > organophosphate > chlorpyrifos;italy;9-5-2025
border rejection;unauthorised colour;unauthorised colour;mexico;8-5-2025
border rejection;unauthorised colour;unauthorised colour;mexico;8-5-2025
border rejection;carbendazim;pesticides > benzimidazole > carbendazim;haiti;8-5-2025
border rejection;unauthorised colour;unauthorised colour;mexico;8-5-2025
alert;chlorpyrifos;pesticides > organophosphate > chlorpyrifos;italy;8-5-2025
border rejection;unauthorised colour;unauthorised colour;mexico;8-5-2025
border rejection;inadequate processing;processing > inadequate processing;south korea;8-5-2025
alert;cereals containing gluten and products thereof;cereals containing gluten and products thereof;denmark, spain;7-5-2025
border rejection;solidification, moulds, bad smell / off odor, deterioration;solidification, non-pathogenic microorganisms > moulds, bad smell / off odor, deterioration;united states;7-5-2025
border rejection;pesticides;pesticides;india;7-5-2025
alert;escherichia coli o103;pathogen > pathogenic bacteria > escherichia coli > escherichia coli o103;france;7-5-2025
border rejection;incorrect labeling, unauthorised colour, artificial colourants/synthetic dyes;labelling/misdescription > incorrect labeling, unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;30-4-2025
alert;too high content of ragweed (ambrosia spp.) seeds;composition > too high content of ragweed (ambrosia spp.) seeds;france;25-4-2025
border rejection;improper import declaration;smuggling > improper import declaration;thailand;24-4-2025
border rejection;composition;composition;thailand;24-4-2025
border rejection;improper import declaration;smuggling > improper import declaration;thailand;24-4-2025
border rejection;improper import declaration;smuggling > improper import declaration;thailand;24-4-2025
border rejection;improper import declaration;smuggling > improper import declaration;thailand;24-4-2025
border rejection;improper import declaration;smuggling > improper import declaration;thailand;24-4-2025
border rejection;improper import declaration;smuggling > improper import declaration;thailand;24-4-2025
border rejection;improper import declaration;smuggling > improper import declaration;thailand;24-4-2025
border rejection;improper import declaration;smuggling > improper import declaration;thailand;24-4-2025
alert;chlorpyrifos;pesticides > organophosphate > chlorpyrifos;netherlands;23-4-2025
alert;3-monochlor-1,2-propanediol (3-mcpd);industrial contaminants > 3-monochlor-1,2-propanediol (3-mcpd);germany;23-4-2025
border rejection;high level of acidity;high level of acidity;china;22-4-2025
alert;plastic fragment;plastic fragment;canada;22-4-2025
border rejection;aflatoxin, aflatoxin b1, chlorpyrifos;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1, pesticides > organophosphate > chlorpyrifos;pakistan;22-4-2025
border rejection;improper import declaration;smuggling > improper import declaration;nigeria;22-4-2025
border rejection;pesticides;pesticides;thailand;21-4-2025
border rejection;pesticides;pesticides;india;21-4-2025
border rejection;pesticides;pesticides;india;21-4-2025
border rejection;improper import declaration;smuggling > improper import declaration;nigeria;21-4-2025
border rejection;pesticides;pesticides;india;21-4-2025
alert;cereals containing gluten and products thereof;cereals containing gluten and products thereof;belgium;17-4-2025
alert;cereals containing gluten and products thereof;cereals containing gluten and products thereof;belgium;17-4-2025
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;mexico;16-4-2025
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;mexico;16-4-2025
border rejection;unauthorised colour, missing required nutrition information;unauthorised colour, labelling/misdescription > insufficient labelling/documentation > missing required nutrition information;mexico;16-4-2025
alert;aflatoxin, aflatoxin b1, ochratoxin a, zearalenone;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > ochratoxin > ochratoxin a, mycotoxin > zearalenone;romania;16-4-2025
border rejection;improper import declaration;smuggling > improper import declaration;thailand;15-4-2025
border rejection;unauthorised colour, artificial colourants/synthetic dyes;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;14-4-2025
alert;insects;insects;canada;11-4-2025
border rejection;pesticides;pesticides;india;11-4-2025
border rejection;solidification, bad smell / off odor, abnormal colour, moulds, appearance;solidification, bad smell / off odor, abnormal colour, non-pathogenic microorganisms > moulds, appearance;united states;11-4-2025
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;11-4-2025
alert;aflatoxin b1;mycotoxin > aflatoxin > aflatoxin b1;belgium;10-4-2025
border rejection;unauthorised colour, artificial colourants/synthetic dyes;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;10-4-2025
alert;peanuts and products thereof;peanuts and products thereof;canada;10-4-2025
border rejection;artificial colourants/synthetic dyes, unauthorised colour;adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes, unauthorised colour;mexico;10-4-2025
border rejection;artificial colourants/synthetic dyes, unauthorised colour;adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes, unauthorised colour;mexico;10-4-2025
border rejection;missing required nutrition information;labelling/misdescription > insufficient labelling/documentation > missing required nutrition information;mexico;10-4-2025
border rejection;unauthorised colour, artificial colourants/synthetic dyes;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;10-4-2025
alert;mustard and products thereof;mustard and products thereof;italy;9-4-2025
alert;alkaloids;alkaloids;switzerland;7-4-2025
border rejection;unclassified bacteria;other not classified biological hazards > unclassified bacteria;nepal;7-4-2025
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;7-4-2025
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;sri lanka;4-4-2025
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;4-4-2025
alert;alkaloids;alkaloids;germany;4-4-2025
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;italy;4-4-2025
border rejection;improper import declaration;smuggling > improper import declaration;nigeria;4-4-2025
border rejection;aflatoxin b1;mycotoxin > aflatoxin > aflatoxin b1;united states;4-4-2025
border rejection;chlorpyrifos;pesticides > organophosphate > chlorpyrifos;india;4-4-2025
border rejection;misbranding, missing required nutrition information;labelling/misdescription > misbranding, labelling/misdescription > insufficient labelling/documentation > missing required nutrition information;mexico;4-4-2025
border rejection;improper import declaration;smuggling > improper import declaration;thailand;2-4-2025
border rejection;improper import declaration;smuggling > improper import declaration;thailand;2-4-2025
border rejection;improper import declaration;smuggling > improper import declaration;thailand;2-4-2025
alert;rye ergot;rye ergot;germany;1-4-2025
border rejection;artificial colourants/synthetic dyes, unauthorised colour;adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes, unauthorised colour;mexico;1-4-2025
border rejection;non-compliance to standards;poor or insufficient controls > non-compliance to standards;india;1-4-2025
border rejection;unauthorised colour, artificial colourants/synthetic dyes;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;1-4-2025
border rejection;e 210 - benzoic acid unauthorised;e 210 - benzoic acid unauthorised;thailand;28-3-2025
alert;alkaloids;alkaloids;germany;28-3-2025
alert;ochratoxin a;mycotoxin > ochratoxin > ochratoxin a;poland;28-3-2025
alert;pesticides;pesticides;france;27-3-2025
border rejection;unauthorised colour, artificial colourants/synthetic dyes;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;27-3-2025
border rejection;unauthorised colour, artificial colourants/synthetic dyes;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;27-3-2025
border rejection;chlorpyrifos;pesticides > organophosphate > chlorpyrifos;pakistan;27-3-2025
border rejection;coliforms, unclassified bacteria;non-pathogenic microorganisms > coliforms, other not classified biological hazards > unclassified bacteria;china;26-3-2025
border rejection;solidification, abnormal colour, moulds, bad smell / off odor, appearance;solidification, abnormal colour, non-pathogenic microorganisms > moulds, bad smell / off odor, appearance;thailand;26-3-2025
border rejection;appearance, moulds, bad smell / off odor;appearance, non-pathogenic microorganisms > moulds, bad smell / off odor;australia;26-3-2025
border rejection;pesticides;pesticides;pakistan;26-3-2025
border rejection;unauthorised colour, artificial colourants/synthetic dyes, missing required nutrition information;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes, labelling/misdescription > insufficient labelling/documentation > missing required nutrition information;mexico;26-3-2025
border rejection;solidification, moulds, bad smell / off odor;solidification, non-pathogenic microorganisms > moulds, bad smell / off odor;thailand;26-3-2025
border rejection;incorrect labeling, unauthorised colour, artificial colourants/synthetic dyes;labelling/misdescription > incorrect labeling, unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;26-3-2025
border rejection;unclassified bacteria;other not classified biological hazards > unclassified bacteria;thailand;26-3-2025
border rejection;abnormal colour, solidification, moulds, bad smell / off odor, appearance;abnormal colour, solidification, non-pathogenic microorganisms > moulds, bad smell / off odor, appearance;united states;26-3-2025
border rejection;unauthorised colour, artificial colourants/synthetic dyes;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;25-3-2025
border rejection;unauthorised colour, artificial colourants/synthetic dyes;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;25-3-2025
border rejection;unauthorised colour, artificial colourants/synthetic dyes;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;25-3-2025
border rejection;unauthorised colour, artificial colourants/synthetic dyes;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;25-3-2025
alert;cadmium;heavy metals > cadmium;france;25-3-2025
border rejection;unauthorised colour, artificial colourants/synthetic dyes;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;24-3-2025
border rejection;improper import declaration;smuggling > improper import declaration;philippines;24-3-2025
