Incident Type;Hazards;Hazard Paths;Origins;Date
alert;2-chloroethanol;pesticides > organochlorine > 2-chloroethanol;germany;29-12-2021
alert;2-chloroethanol;pesticides > organochlorine > 2-chloroethanol;germany;29-12-2021
alert;unauthorised substance ethylene oxide, unauthorised ingredient (fraud);pesticides > unauthorised substance ethylene oxide, unauthorised ingredient (fraud);netherlands;28-12-2021
alert;2-chloroethanol;pesticides > organochlorine > 2-chloroethanol;germany;23-12-2021
alert;unauthorised substance ethylene oxide, unauthorised ingredient (fraud);pesticides > unauthorised substance ethylene oxide, unauthorised ingredient (fraud);germany;16-12-2021
alert;unauthorised substance ethylene oxide, unauthorised ingredient (fraud);pesticides > unauthorised substance ethylene oxide, unauthorised ingredient (fraud);thailand, india;8-12-2021
alert;unauthorised substance ethylene oxide, unauthorised ingredient (fraud);pesticides > unauthorised substance ethylene oxide, unauthorised ingredient (fraud);unknown origin;8-12-2021
alert;unauthorised substance ethylene oxide, unauthorised ingredient (fraud);pesticides > unauthorised substance ethylene oxide, unauthorised ingredient (fraud);germany;6-12-2021
alert;unauthorised substance ethylene oxide, unauthorised ingredient (fraud);pesticides > unauthorised substance ethylene oxide, unauthorised ingredient (fraud);germany;6-12-2021
alert;sulphur dioxide and sulphites;sulphur dioxide and sulphites;ireland;10-9-2021
alert;sulphur dioxide and sulphites;sulphur dioxide and sulphites;united kingdom;24-8-2021
alert;sulphur dioxide and sulphites;sulphur dioxide and sulphites;austria;20-8-2021
alert;sulphates/sulphites;adulteration (ema) > addition > enhancers/neutralizers > sulphates/sulphites;sri lanka;6-8-2021
border rejection;lead;heavy metals > lead;india;2-4-2021
alert;salmonella;pathogen > pathogenic bacteria > salmonella;united states;8-10-2020
alert;salmonella;pathogen > pathogenic bacteria > salmonella;united states;7-10-2020
border rejection;misbranding;labelling/misdescription > misbranding;india;8-7-2020
border rejection;misbranding;labelling/misdescription > misbranding;india;8-7-2020
border rejection;lead;heavy metals > lead;india;30-3-2020
border rejection;lead;heavy metals > lead;india;30-3-2020
alert;glass fragment;glass fragment;netherlands;26-3-2020
border rejection;lead;heavy metals > lead;india;23-3-2020
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;19-2-2020
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;19-2-2020
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;china;10-11-2019
food;bacillus cereus;pathogen > pathogenic bacteria > bacillus spp. > bacillus cereus;west bank and gaza strip;22-10-2019
alert;lead;heavy metals > lead;united states;10-9-2019
border rejection;lead;heavy metals > lead;indonesia;23-8-2019
alert;lead;heavy metals > lead;united states;26-7-2019
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;18-6-2019
border rejection;lead;heavy metals > lead;yemen;13-6-2019
border rejection;lead;heavy metals > lead;china;10-6-2019
border rejection;foreign bodies;;vietnam;10-5-2019
border rejection;metal fragment;metal fragment;south korea;8-5-2019
border rejection;potassium acetate;adulteration (ema) > addition > enhancers/neutralizers > organic acids/organic acid salts > potassium acetate;south korea;8-5-2019
border rejection;metal fragment;metal fragment;south korea;30-4-2019
food;bacillus cereus enterotoxigenic;pathogen > pathogenic bacteria > bacillus spp. > bacillus cereus enterotoxigenic;west bank and gaza strip;4-4-2019
border rejection;lead;heavy metals > lead;china;27-3-2019
food;peanuts and products thereof;peanuts and products thereof;india;22-3-2019
border rejection;metal fragment;metal fragment;vietnam;21-1-2019
alert;glass fragment, plastic fragment;glass fragment, plastic fragment;denmark;22-2-2018
alert;abnormal smell;abnormal smell;china;12-1-2018
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;20-12-2017
alert;bacillus cereus;pathogen > pathogenic bacteria > bacillus spp. > bacillus cereus;australia;28-11-2017
border rejection;particles, poisonous;other not classified hazards for foreign bodies > particles, pathogen > biotoxins (other) > poisonous;vietnam;13-11-2017
alert;abnormal smell;abnormal smell;czech republic;3-11-2017
border rejection;incorrect labeling;labelling/misdescription > incorrect labeling;brazil;20-10-2017
border rejection;lead;heavy metals > lead;vietnam;29-9-2017
border rejection;lead;heavy metals > lead;vietnam;29-9-2017
border rejection;lead;heavy metals > lead;vietnam;29-9-2017
border rejection;lead;heavy metals > lead;vietnam;29-6-2017
border rejection;lead;heavy metals > lead;vietnam;29-6-2017
border rejection;lead;heavy metals > lead;vietnam;29-6-2017
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;china;21-6-2017
border rejection;incorrect labeling, labelling/misdescription;labelling/misdescription > incorrect labeling, labelling/misdescription;nicaragua;20-3-2017
border rejection;spoilage;spoilage;sri lanka;10-3-2017
border rejection;spoilage;spoilage;sri lanka;1-3-2017
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;17-2-2017
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;china;2-12-2016
border rejection;misbranding, spoilage, unfit for human consumption, foreign bodies;labelling/misdescription > misbranding, spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;22-11-2016
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;vietnam;15-11-2016
border rejection;spoilage;spoilage;sri lanka;17-10-2016
border rejection;spoilage;spoilage;indonesia;23-8-2016
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;11-7-2016
border rejection;missing required nutrition information;labelling/misdescription > insufficient labelling/documentation > missing required nutrition information;jordan;7-7-2016
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;china;6-7-2016
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;china;17-6-2016
border rejection;poor hygienic state, spoilage, unfit for human consumption, foreign bodies;poor or insufficient controls > poor hygienic state, spoilage, poor or insufficient controls > unfit for human consumption;vietnam;8-2-2016
border rejection;poor hygienic state, spoilage, unfit for human consumption, foreign bodies;poor or insufficient controls > poor hygienic state, spoilage, poor or insufficient controls > unfit for human consumption;vietnam;8-2-2016
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;china;20-1-2016
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;13-1-2016
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;30-12-2015
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;south korea;14-12-2015
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;10-12-2015
border rejection;misbranding, spoilage, unfit for human consumption, foreign bodies;labelling/misdescription > misbranding, spoilage, poor or insufficient controls > unfit for human consumption;indonesia;30-10-2015
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;26-10-2015
border rejection;incorrect labeling, labelling/misdescription;labelling/misdescription > incorrect labeling, labelling/misdescription;israel;2-10-2015
border rejection;incorrect labeling, labelling/misdescription;labelling/misdescription > incorrect labeling, labelling/misdescription;israel;2-10-2015
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;10-9-2015
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;24-8-2015
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;4-8-2015
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;29-7-2015
- food;salmonella;pathogen > pathogenic bacteria > salmonella;united states;25-7-2015
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;19-6-2015
border rejection;spoilage, unfit for human consumption, insufficient labelling/documentation, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption, labelling/misdescription > insufficient labelling/documentation;sri lanka;19-6-2015
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;19-6-2015
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;sri lanka;6-4-2015
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;25-3-2015
border rejection;misbranding;labelling/misdescription > misbranding;sri lanka;16-3-2015
border rejection;misbranding;labelling/misdescription > misbranding;sri lanka;16-3-2015
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;10-3-2015
food;moulds;non-pathogenic microorganisms > moulds;indonesia;2-3-2015
border rejection;spoilage;spoilage;sri lanka;18-2-2015
border rejection;misbranding, missing required nutrition information, insufficient labelling/documentation;labelling/misdescription > misbranding, labelling/misdescription > insufficient labelling/documentation > missing required nutrition information, labelling/misdescription > insufficient labelling/documentation;egypt;3-2-2015
border rejection;misbranding, missing required nutrition information, insufficient labelling/documentation;labelling/misdescription > misbranding, labelling/misdescription > insufficient labelling/documentation > missing required nutrition information, labelling/misdescription > insufficient labelling/documentation;egypt;3-2-2015
food;moulds;non-pathogenic microorganisms > moulds;indonesia;30-1-2015
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;22-1-2015
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;22-1-2015
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;22-1-2015
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;22-1-2015
border rejection;misbranding;labelling/misdescription > misbranding;nicaragua;15-12-2014
border rejection;misbranding;labelling/misdescription > misbranding;nicaragua;15-12-2014
border rejection;incorrect labeling;labelling/misdescription > incorrect labeling;nicaragua;15-12-2014
food;moulds;non-pathogenic microorganisms > moulds;indonesia;29-9-2014
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;9-9-2014
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;china;21-8-2014
food;live insects, moulds;insects > live insects, non-pathogenic microorganisms > moulds;indonesia;28-7-2014
border rejection;misbranding, incorrect labeling, insufficient labelling/documentation;labelling/misdescription > misbranding, labelling/misdescription > incorrect labeling, labelling/misdescription > insufficient labelling/documentation;united arab emirates;30-6-2014
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;20-6-2014
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;6-6-2014
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;29-5-2014
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;8-5-2014
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;12-2-2014
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;12-2-2014
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;12-2-2014
border rejection;spoilage;spoilage;sri lanka;29-1-2014
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;23-1-2014
border rejection;spoilage;spoilage;china;16-1-2014
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;15-1-2014
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;14-1-2014
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;27-12-2013
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;17-12-2013
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;5-12-2013
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;23-10-2013
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;23-10-2013
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;23-10-2013
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;23-10-2013
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;china;10-10-2013
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;2-7-2013
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;2-7-2013
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;2-7-2013
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;27-6-2013
border rejection;chemical;;india;19-4-2013
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;1-2-2013
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;1-2-2013
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;1-2-2013
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;china;4-10-2012
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;thailand;25-9-2012
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;thailand;25-9-2012
border rejection;misbranding, missing required nutrition information, insufficient labelling/documentation;labelling/misdescription > misbranding, labelling/misdescription > insufficient labelling/documentation > missing required nutrition information, labelling/misdescription > insufficient labelling/documentation;india;14-8-2012
border rejection;chemical;;india;9-8-2012
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;sri lanka;9-8-2012
food;absence of labelling;labelling/misdescription > absence of labelling;vietnam;24-7-2012
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;china;2-7-2012
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;china;2-7-2012
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;malaysia;29-5-2012
border rejection;poor hygienic state, spoilage, unfit for human consumption, foreign bodies;poor or insufficient controls > poor hygienic state, spoilage, poor or insufficient controls > unfit for human consumption;china;25-5-2012
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;china;11-1-2012
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;27-12-2011
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;19-12-2011
border rejection;poor hygienic state, inadequate acidification;poor or insufficient controls > poor hygienic state, poor or insufficient controls > improper conditions > inadequate acidification;thailand;15-11-2011
food;foreign bodies;;madagascar;19-8-2011
food contact material;migration of 1-hydroxy-cyclohexyl phenyl ketone, migration of benzophenone;migration of 1-hydroxy-cyclohexyl phenyl ketone, migration of benzophenone;turkey;23-12-2010
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;19-8-2010
border rejection;misbranding, missing required nutrition information, incorrect labeling, insufficient labelling/documentation;labelling/misdescription > misbranding, labelling/misdescription > insufficient labelling/documentation > missing required nutrition information, labelling/misdescription > incorrect labeling, labelling/misdescription > insufficient labelling/documentation;vietnam;22-7-2010
border rejection;lead;heavy metals > lead;india;19-4-2010
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;12-6-2009
border rejection;spoilage, unfit for human consumption, foreign bodies;spoilage, poor or insufficient controls > unfit for human consumption;india;10-10-2007
border rejection;poor hygienic state, spoilage, unfit for human consumption, foreign bodies;poor or insufficient controls > poor hygienic state, spoilage, poor or insufficient controls > unfit for human consumption;hong kong;17-11-2004
border rejection;pesticides;pesticides;india;9-8-2004
border rejection;misbranding, missing required nutrition information;labelling/misdescription > misbranding, labelling/misdescription > insufficient labelling/documentation > missing required nutrition information;thailand;19-1-2004
