Incident Type;Specific Hazards;Hazard Subcategory Paths;Origins;Date
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;venezuela;22-4-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;france;17-4-2025
alert;undeclared sulphite;sulphur dioxide and sulphites > undeclared sulphite;vietnam;16-4-2025
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;india;16-4-2025
border rejection;doxycycline;residues of veterinary medicinal products > antibiotics, vet drugs > doxycycline;vietnam;14-4-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;14-4-2025
alert;vibrio vulnificus;pathogen > pathogenic bacteria > vibrio spp > vibrio vulnificus;france;11-4-2025
border rejection;sulphur dioxide;adulteration (ema) > addition > enhancers/neutralizers > sulphur dioxide;ecuador;11-4-2025
border rejection;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;9-4-2025
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;7-4-2025
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;3-4-2025
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;3-4-2025
border rejection;nitrofuran;residues of veterinary medicinal products > antibiotics, vet drugs > nitrofuran;vietnam;2-4-2025
border rejection;nitrofuran;residues of veterinary medicinal products > antibiotics, vet drugs > nitrofuran;india;2-4-2025
border rejection;enrofloxacin;residues of veterinary medicinal products > antibiotics, vet drugs > enrofloxacin;vietnam;2-4-2025
border rejection;nitrofuran;residues of veterinary medicinal products > antibiotics, vet drugs > nitrofuran;vietnam;2-4-2025
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;vietnam;2-4-2025
border rejection;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;1-4-2025
border rejection;chloramphenicol;residues of veterinary medicinal products > antibiotics, vet drugs > chloramphenicol;vietnam;31-3-2025
border rejection;doxycycline;residues of veterinary medicinal products > antibiotics, vet drugs > doxycycline;vietnam;27-3-2025
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;21-3-2025
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;21-3-2025
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;20-3-2025
border rejection;doxycycline unauthorised;residues of veterinary medicinal products > doxycycline unauthorised;vietnam;10-3-2025
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;7-3-2025
border rejection;nitrofuran;residues of veterinary medicinal products > antibiotics, vet drugs > nitrofuran;india;6-3-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;5-3-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;5-3-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;5-3-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;5-3-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;5-3-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;5-3-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;5-3-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;5-3-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;5-3-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;5-3-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;5-3-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;5-3-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;5-3-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;5-3-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;5-3-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;5-3-2025
border rejection;eggs and products thereof;eggs and products thereof;vietnam;5-3-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;5-3-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;5-3-2025
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;vietnam;28-2-2025
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;28-2-2025
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;28-2-2025
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;28-2-2025
border rejection;coliforms;non-pathogenic microorganisms > coliforms;south korea;27-2-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;indonesia;26-2-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;indonesia;26-2-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;indonesia;26-2-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;indonesia;26-2-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;indonesia;26-2-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;indonesia;26-2-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;indonesia;26-2-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;indonesia;26-2-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;indonesia;26-2-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;indonesia;26-2-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;indonesia;26-2-2025
alert;vibrio vulnificus;pathogen > pathogenic bacteria > vibrio spp > vibrio vulnificus;france;25-2-2025
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;25-2-2025
alert;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);vietnam;20-2-2025
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;19-2-2025
border rejection;too high content of sulphite;sulphur dioxide and sulphites > too high content of sulphite;ecuador;19-2-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;19-2-2025
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;14-2-2025
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;13-2-2025
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;12-2-2025
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;11-2-2025
border rejection;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);vietnam;10-2-2025
border rejection;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);vietnam;10-2-2025
border rejection;chloramphenicol;residues of veterinary medicinal products > antibiotics, vet drugs > chloramphenicol;india;10-2-2025
border rejection;doxycycline unauthorised;residues of veterinary medicinal products > doxycycline unauthorised;vietnam;10-2-2025
border rejection;doxycycline unauthorised;residues of veterinary medicinal products > doxycycline unauthorised;vietnam;10-2-2025
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;10-2-2025
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;10-2-2025
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;6-2-2025
alert;eggs and products thereof;eggs and products thereof;vietnam;5-2-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;france;5-2-2025
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;4-2-2025
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;3-2-2025
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;3-2-2025
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;31-1-2025
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;17-1-2025
border rejection;sulphur dioxide and sulphites;sulphur dioxide and sulphites;ecuador;15-1-2025
border rejection;prohibited substance nitrofuran (metabolite) furaltadone (amoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furaltadone (amoz);india;13-1-2025
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;10-1-2025
border rejection;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;9-1-2025
border rejection;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;9-1-2025
border rejection;enrofloxacin;residues of veterinary medicinal products > antibiotics, vet drugs > enrofloxacin;vietnam;9-1-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;3-1-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;3-1-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;3-1-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;3-1-2025
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;vietnam;2-1-2025
border rejection;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;27-12-2024
alert;inspection issues;smuggling > inspection issues;philippines;19-12-2024
border rejection;undeclared sulphite;sulphur dioxide and sulphites > undeclared sulphite;indonesia;12-12-2024
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;india;10-12-2024
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;india;10-12-2024
border rejection;sulfamethoxazole unauthorised;residues of veterinary medicinal products > sulfamethoxazole unauthorised;vietnam;9-12-2024
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;5-12-2024
alert;vibrio vulnificus;pathogen > pathogenic bacteria > vibrio spp > vibrio vulnificus;ecuador;3-12-2024
border rejection;unclassified bacteria;other not classified biological hazards > unclassified bacteria;vietnam;26-11-2024
alert;vibrio vulnificus;pathogen > pathogenic bacteria > vibrio spp > vibrio vulnificus;ecuador;26-11-2024
border rejection;chloramphenicol;residues of veterinary medicinal products > antibiotics, vet drugs > chloramphenicol;bangladesh;25-11-2024
border rejection;antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs;india;20-11-2024
alert;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);canada;20-11-2024
border rejection;insufficient labelling/documentation;labelling/misdescription > insufficient labelling/documentation;indonesia;18-11-2024
border rejection;not suitable to contain food, adulteration (ema), pesticides;improper packaging > not suitable to contain food, adulteration (ema), pesticides;vietnam;18-11-2024
border rejection;residue level above mrl for tetracycline;residues of veterinary medicinal products > residue level above mrl for tetracycline;vietnam;18-11-2024
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;14-11-2024
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;14-11-2024
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;14-11-2024
border rejection;chloramphenicol, prohibited substance chloramphenicol;residues of veterinary medicinal products > antibiotics, vet drugs > chloramphenicol, residues of veterinary medicinal products > prohibited substance chloramphenicol;india;8-11-2024
border rejection;nitrofuran;residues of veterinary medicinal products > antibiotics, vet drugs > nitrofuran;vietnam;7-11-2024
alert;vibrio vulnificus;pathogen > pathogenic bacteria > vibrio spp > vibrio vulnificus;united states;7-11-2024
border rejection;coliforms;non-pathogenic microorganisms > coliforms;china;4-11-2024
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;france;4-11-2024
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;saudi arabia;29-10-2024
border rejection;chloramphenicol;residues of veterinary medicinal products > antibiotics, vet drugs > chloramphenicol;india;29-10-2024
alert;mislabelled;labelling/misdescription > mislabelled;japan;17-10-2024
border rejection;nitrofuran, antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs > nitrofuran, residues of veterinary medicinal products > antibiotics, vet drugs;vietnam;15-10-2024
border rejection;nitrofuran, antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs > nitrofuran, residues of veterinary medicinal products > antibiotics, vet drugs;vietnam;15-10-2024
border rejection;nitrofuran, antibiotics, vet drugs, missing required nutrition information;residues of veterinary medicinal products > antibiotics, vet drugs > nitrofuran, residues of veterinary medicinal products > antibiotics, vet drugs, labelling/misdescription > insufficient labelling/documentation > missing required nutrition information;vietnam;15-10-2024
alert;residue level above mrl for doxycycline, sulfamethoxazole, residue level above mrl for tetracycline;residues of veterinary medicinal products > residue level above mrl for doxycycline, residues of veterinary medicinal products > antibiotics, vet drugs > sulfamethoxazole, residues of veterinary medicinal products > residue level above mrl for tetracycline;vietnam;15-10-2024
border rejection;nitrofuran, antibiotics, vet drugs;residues of veterinary medicinal products > antibiotics, vet drugs > nitrofuran, residues of veterinary medicinal products > antibiotics, vet drugs;vietnam;15-10-2024
border rejection;nitrofuran, antibiotics, vet drugs, missing required nutrition information;residues of veterinary medicinal products > antibiotics, vet drugs > nitrofuran, residues of veterinary medicinal products > antibiotics, vet drugs, labelling/misdescription > insufficient labelling/documentation > missing required nutrition information;vietnam;15-10-2024
border rejection;unclassified bacteria;other not classified biological hazards > unclassified bacteria;china;14-10-2024
border rejection;metal fragment;metal fragment;china;14-10-2024
alert;residue level above mrl for doxycycline, sulfamethoxazole, residue level above mrl for tetracycline;residues of veterinary medicinal products > residue level above mrl for doxycycline, residues of veterinary medicinal products > antibiotics, vet drugs > sulfamethoxazole, residues of veterinary medicinal products > residue level above mrl for tetracycline;germany;14-10-2024
border rejection;ciprofloxacin, enrofloxacin, sulfamethoxazole;residues of veterinary medicinal products > antibiotics, vet drugs > ciprofloxacin, residues of veterinary medicinal products > antibiotics, vet drugs > enrofloxacin, residues of veterinary medicinal products > antibiotics, vet drugs > sulfamethoxazole;vietnam;10-10-2024
border rejection;insufficient labelling/documentation;labelling/misdescription > insufficient labelling/documentation;indonesia;2-10-2024
border rejection;oxytetracycline, enrofloxacin;residues of veterinary medicinal products > antibiotics, vet drugs > oxytetracycline, residues of veterinary medicinal products > antibiotics, vet drugs > enrofloxacin;indonesia;30-9-2024
border rejection;enrofloxacin;residues of veterinary medicinal products > antibiotics, vet drugs > enrofloxacin;indonesia;30-9-2024
border rejection;unclassified bacteria;other not classified biological hazards > unclassified bacteria;vietnam;30-9-2024
border rejection;nitrofuran;residues of veterinary medicinal products > antibiotics, vet drugs > nitrofuran;bangladesh;26-9-2024
alert;unauthorised placing on the market;smuggling > unauthorised placing on the market;philippines;25-9-2024
border rejection;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;24-9-2024
border rejection;enrofloxacin unauthorised;residues of veterinary medicinal products > enrofloxacin unauthorised;vietnam;24-9-2024
border rejection;coliforms;non-pathogenic microorganisms > coliforms;china;24-9-2024
border rejection;chloramphenicol, prohibited substance chloramphenicol;residues of veterinary medicinal products > antibiotics, vet drugs > chloramphenicol, residues of veterinary medicinal products > prohibited substance chloramphenicol;india;23-9-2024
border rejection;chloramphenicol, prohibited substance chloramphenicol;residues of veterinary medicinal products > antibiotics, vet drugs > chloramphenicol, residues of veterinary medicinal products > prohibited substance chloramphenicol;india;23-9-2024
border rejection;vibrio parahaemolyticus, vibrio cholerae;pathogen > pathogenic bacteria > vibrio spp > vibrio parahaemolyticus, pathogen > pathogenic bacteria > vibrio spp > vibrio cholerae;ecuador;19-9-2024
border rejection;chloramphenicol;residues of veterinary medicinal products > antibiotics, vet drugs > chloramphenicol;india;18-9-2024
border rejection;poor temperature control - rupture of the cold chain;poor or insufficient controls > improper conditions > poor temperature control - rupture of the cold chain;argentina;17-9-2024
border rejection;poor temperature control - rupture of the cold chain;poor or insufficient controls > improper conditions > poor temperature control - rupture of the cold chain;argentina;13-9-2024
border rejection;poor temperature control - rupture of the cold chain;poor or insufficient controls > improper conditions > poor temperature control - rupture of the cold chain;morocco;11-9-2024
border rejection;unclassified bacteria;other not classified biological hazards > unclassified bacteria;vietnam;10-9-2024
alert;vibrio vulnificus;pathogen > pathogenic bacteria > vibrio spp > vibrio vulnificus;france;10-9-2024
alert;vibrio vulnificus;pathogen > pathogenic bacteria > vibrio spp > vibrio vulnificus;france;10-9-2024
